,,185,,,,,,184,,,,,,,186,,186,,186,,72,82,61,,183,180,99,0,4,13,9,0,10,0,6,0,9,2,10,36,20,4,33,14,4,24,0,18,12,183,,21,15,5,25,27,6,47,54,24,69,30,152,183,,,,,,,,,,,,
OMINOUS,N,Nu Dominatrix II,,Y,Y,,,2,,Y,,,,1,primitive,,none,,detected,Y,,Y,,,3,5,,,,,,,,,,,,,,1,,,,,,,,,,9,,,,,,,,6,,,5,,11,20,,3,3,99,14,12,8,13,14,20,18,430
OOIOIII,N,Xi Shafer III,,Y,,,Y,2,Y,,,,,1,none,,add,,detected,Y,Y,Y,,,2,3,,,,,,,,,,,,,,,,,,2,,,,3,,10,,,,,,,,6,,,1,3,10,20,,3,3,74,14,14,8,14,8,8,8,266
LLLLLLL,N,Phi Blivebarkerus VI,Y,,Y,,,2,,Y,,,,1,primitive,,none,,detected,Y,,Y,Y,,3,4,,,,,1,,,,,,,,,2,,,,,,,,,,10,,,,,,,,5,,,2,3,10,20,,3,3,77,11,11,11,11,11,11,11,308
LVXFTYW,N,Alpha Bubblicius VI,,,Y,Y,,2,,,,,Y,1,none,,none,,detected,Y,,,Y,,7,3,3,,,,,,,,,,1,,,,,,,,,,,,,14,,,,,,,,5,,,,,5,19,,3,3,125,11,21,23,5,19,24,22,535
MCSROIW,N,Beta Davis V,Y,,,,Y,2,,Y,,,,1,none,,none,,detected,Y,,,,,8,3,4,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,5,,,,,5,20,,3,3,93,12,2,18,17,14,8,22,410
MEANING,N,Alpha Pacmanicus VI,,Y,,,Y,2,,,,Y,,1,none,,primitive,,detected,Y,Y,,,,4,2,,,,,,,,,,,,,,,,,3,,,,,,,9,,,,,,,,5,6,,,,11,20,,3,3,56,12,4,0,13,8,13,6,232
MINSTER,N,Eta Fustulus II,,,Y,,Y,2,,,,,Y,1,none,,none,,detected,Y,Y,,Y,,3,3,3,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,5,6,,,,11,20,,3,3,91,12,8,13,18,19,4,17,377
NAZISAU,N,Allopecius Noriega X,,Y,Y,,,2,Y,,,,,1,primitive,,advanced,Y,detected,Y,,Y,Y,,1,3,,,,1,,,,,,,,,,2,,,,,,,,,,7,,,,,,2,,5,,,6,,13,20,,3,3,84,13,0,25,8,18,0,20,350
OIIIIOO,N,Lambda Capulet VIII,,Y,,,Y,2,Y,,,,,1,none,,none,,detected,Y,Y,Y,Y,,4,1,,,,,1,,,,,,,,,,,,,,,,,,,6,,,,,,,,5,3,2,4,,14,20,,3,3,74,14,8,8,8,8,14,14,308
OIOIIIO,N,Cheetus Westinghouse IV,Y,,,Y,,2,,Y,,,,1,advanced,Y,none,,detected,Y,,Y,Y,,2,2,,,,,1,,,,,,,,,,,,,,,,,,,5,,,4,,,,,5,,,6,,15,20,,3,3,74,14,8,14,8,8,8,14,290
OTSDHZP,N,Billclintonus Wallace V,Y,,Y,,,2,,,,Y,,1,none,,primitive,Y,detected,Y,,Y,Y,,4,2,,,,,,,1,,,,,,,,,,,,,,,,,7,,,,,3,,,5,,,5,,13,20,,3,3,101,14,19,18,3,7,25,15,408
LUMBAGO,N,Alpha Hamburguesus IX,,Y,Y,,,2,Y,,,,,1,advanced,Y,none,,detected,Y,,Y,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,7,,,4,,,,,4,,,5,,13,20,,3,3,64,11,20,12,1,0,6,14,225
LYNXIAS,N,Chi Clark VII,Y,Y,,,,2,,,,Y,,1,none,,primitive,,detected,Y,Y,,Y,,4,2,,,,1,,,,,,,,,,,,,3,,,,,,,10,,,,,,,,4,2,4,,,10,20,,3,3,97,11,24,13,23,8,0,18,356
NARDOLE,N,Scabrus Allen VI,Y,Y,,,,2,Y,,,,,1,none,,advanced,,detected,Y,Y,Y,,,1,2,,,,,,,,,,,,,,,,,,2,,,,,,5,,,,,,,,4,5,,6,,15,20,,3,3,62,13,0,17,3,14,11,4,240
OZTZNWD,N,Pi Bearthurus X,,Y,,Y,,2,Y,,,,,1,none,,none,,detected,Y,,Y,Y,,1,4,3,,,,,,,,,,,,1,,,,,,,,,,,9,,,,,,,,4,,,7,,11,20,,3,3,121,14,25,19,25,13,22,3,439
LAZARUS,N,Kappa Smith I,,,,Y,Y,2,,,,Y,,1,primitive,,advanced,Y,detected,Y,,,,,3,3,,,,,,,,,,,,,,9,,,,,,,,,,15,,,,,,2,,3,,,,,5,20,,3,3,91,11,0,25,0,17,20,18,417
LABIATZ,N,Pannus Jackson III,,Y,,Y,,2,,Y,,,,1,primitive,Y,none,,none,,,Y,Y,,2,3,3,,,1,,,,,,,,,,,,,,,,,,,,9,,3,,,,,,,,,8,,11,20,,3,3,64,11,0,1,8,0,19,25,335
LACRIMA,N,Chi Scabrus IX,,,Y,Y,,2,Y,,,,,1,none,,primitive,Y,none,,,Y,,,5,3,2,,,,,,,,,,,,,,,,,,,,,,,10,,,,,4,,,,,,6,,10,20,,3,3,50,11,0,2,17,8,12,0,197
LALALAL,N,Rho Mack V,,,,Y,Y,2,,,,Y,,1,advanced,,advanced,,none,,,Y,,,5,1,,,,,,,,,,,,,,,3,,,5,,,,,,14,,,,,,,,,,,3,3,6,20,,3,3,44,11,0,11,0,11,0,11,176
LEATHER,N,Psi Nichols IV,,Y,,Y,,2,,,Y,,,1,none,,none,,none,,,Y,,,1,4,2,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,1,2,3,10,,3,3,62,11,4,0,19,7,4,17,273
LEGOLAS,N,Beta Steadwick V,Y,Y,,,,2,,Y,,,,1,none,,none,,none,Y,Y,,,,4,3,3,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,6,,4,,10,20,,3,3,64,11,4,6,14,11,0,18,274
LEONINE,N,,,,,Y,Y,2,,,,,Y,1,primitive,Y,none,,none,,,,Y,,4,7,3,,,,,,,,,,,,1,,,,,,,,,,,15,,5,,,,,,,,,,,5,20,,3,3,67,11,4,14,13,8,13,4,259
LINDSAY,N,Upsilon Cartwright VII,,Y,,,Y,2,Y,,,,,1,none,,advanced,Y,none,,Y,Y,,,3,3,,,,,,,,,,,,,,,,,,,,,,,6,12,,,,,,2,,,3,3,,,8,20,,3,3,77,11,8,13,3,18,0,24,336
LINDSEY,N,Billclintonus Durden III,,Y,,Y,,2,,,Y,,,1,primitive, ,advanced,,detected, ,,Y,,,4,1,,,,,,,,,,,,,,5,,,,2,,1,medicine,,,13,,,,,,,,,,,1,5,6,19,,3,3,81,11,8,13,3,18,4,24,360
LKJUFUV,N,Eta Diverticulus VI,,Y,,,Y,2,,,,Y,,1,advanced,Y,none,,detected,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,0,,3,3,96,11,10,9,20,5,20,21,430
LOVEKOL,N,Trixrabbitus Waldorf V,,,Y,,Y,2,,,,,Y,,none,,primitive,Y,none,,Y,Y,,,3,3,,,,,,,,,,,,,,,,,,,,,,3,,9,,,,,3,,,,,,8,,11,20,,3,2,85,11,14,21,4,10,14,11,329
LQOPGOM,N,Iota Fritus I,,,Y,Y,,2,,Y,,,,1,primitive,,anomalous,Y,detected,Y,Y,,,,4,,,,,,,,,,,,,,,4,,,,,,1,mask (175k),4,,13,,,,,,,4,,,,1,2,7,20,,3,3,88,11,16,14,15,6,14,12,343
LUCIFER,N,Lambda Lepidopterus X,,,,Y,Y,2,,,,Y,,1,anomalous,,none,,none,,Y,,Y,,4,3,3,,,1,,,,,,,,,,,,3,,,,,,,,14,,,,,,,,,3,3,,,6,20,,3,3,67,11,20,2,8,5,4,17,257
LYXUDRY,N,Epsilon Jackson VIII,,Y,,Y,,,,,,,Y,1,none,,none,,none,,,Y,,,3,4,4,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,9,,9,20,,3,1,122,11,24,23,20,3,17,24,493
MAAAAAA,N,Psi Lewis IX,,,,Y,Y,2,,,,,Y,1,primitive,,none,,detected,,,,Y,,6,3,5,,,,,,1,,,,,,,4,,,,,,1,medicine 2.87K,,,20,,,,,,,,,,,,,0,20,,3,3,12,12,0,0,0,0,0,0,12
MACHINE,N,Rho Franklin XI,Y,,Y,,,2,,,,,Y,1,advanced,,advanced,Y,none,,,,Y,,3,4,4,,,,,,1,,,,,,,,3,,,,,,,,,15,,,,,,5,,,,,,,5,20,,3,3,46,12,0,2,7,8,13,4,192
MADNESS,N,Xi Capulet V,Y,,Y,,,2,,Y,,,,1,advanced,,advanced,,none,,,Y,,,3,2, ,,,,,, ,,,,,,,,3,,,4,,,,,,12,,,,,, ,,,,,8,,8,20,,3,3,68,12,0,3,13,4,18,18,327
MAMAMIA,N,Mu King X,,Y,Y,,,2,,Y,,,,1,none,,none,,detected,,,Y,,,3,2,5,,,,,,,,,,,,,,,,,,,1,"salad, 11,950",,,11,,,,,,,,,,,9,,9,20,,3,3,44,12,0,12,0,12,8,0,156
MARTIND,N,Mu Misogynus I,,Y,,Y,,2,Y,,,,,1,advanced,,primitive,Y,none,,Y,,Y,,3,4,,,,,1,,,,,,,,,,4,,,,,,,,,12,,,,,3,,,,5,,,,8,20,,3,3,72,12,0,17,19,8,13,3,278
MCSTUMP,N,Xi Berry X,,,,Y,Y,2,,Y,,,,1,anomalous,Y,none,,none,,Y,,Y,,4,3,5,,,,,,1,,,,,,,,,,,,,,,3,,16,,,,4,,,,,,,,,4,20,,3,3,98,12,2,18,19,20,12,15,423
MCSUSNP,N,Xi Berry X??,,,,Y,Y,2,,Y,,,,1,anomalous,Y,none,,none,,Y,Y,Y,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,3,,,,4,,,,,4,,3,6,17,20,,3,3,98,12,2,18,20,18,13,15,423
MCVGILR,N,Upsilon Walker VI,,Y,Y,,,2,,,,Y,,1,primitive,,none,,none,,,,Y,,6,4,3,,,,,,,,,,1,,,6,,,,,,,,,,20,,,,,,,,,,,,,0,20,,3,3,77,12,2,21,6,8,11,17,328
MERCURY,N,Zeta Bush VI,Y,,Y,,,2,,,,,Y,1,advanced,,advanced,Y,none,,,Y,,,2,3,,,,,,,,,,,,,,,5,,,,,,,,,10,,,,,,4,,,,,3,3,10,20,,3,3,96,12,4,17,2,20,17,24,449
MGKTCOF,N,Diggusduggus O'Sullivan III,Y,,,,Y,2,,Y,,,,1,advanced,Y,primitive,Y,none,,,,,,4,2,4,,,,,,,,,,,,,,,,,,,,,,,10,,,7,,3,,,,,,,,10,20,,3,3,68,12,6,10,19,2,14,5,259
MGXOWLU,N,Lambda Nicholson IV,,Y,,Y,,2,,,Y,,,1,primitive,,none,,none,,,Y,,,3,3,3,,,,,,,,,,,,,4,,,,,,,,,,13,,,,,,,,,,,4,3,7,20,,3,3,108,12,6,23,14,22,11,20,465
MISTAKE,N,Delta Young III,,,Y,,Y,2,Y,,,,,1,primitive,Y,anomalous,,none,,,,Y,,3,4,2,,,,,,,,1,,,,,,,,,,6,,,,,16,,4,,,,,,,,,,,4,20,,3,3,71,12,8,18,19,0,10,4,246
MITTENS,N,Omega Discothecus VIII,,Y,Y,,,2,,Y,,,,1,none,,none,,none,,,Y,,,4,4,4,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,8,,8,20,,3,3,93,12,8,19,19,4,13,18,385
MNDURZO,N,Psi Woodward VII,Y,,,,Y,2,,Y,,,,1,advanced,,advanced,Y,detected,,,,,,10,3,,,,,,,,,,,,,,,2,,,,,1,medicine (29.2k),,,16,,,,,,4,,,,,,,4,20,,3,3,104,12,13,3,20,17,25,14,460
MONSTER,N,Pi Washington II,Y,,Y,,,2,,,Y,,,1,none,,advanced,Y,none,,Y,,,,3,3,4,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,3,,,4,3,,,10,20,,3,3,97,12,14,13,18,19,4,17,389
MUTANTS,N,Rho Jones XI,Y,,,,Y,2,,Y,,,,1,none,,primitive,Y,none,,,,,,3,9,6,,,,,,,,,,,,,,,,,,,,,,,18,,,,,2,,,,,,,,2,20,,3,3,101,12,20,19,0,13,19,18,414
MVEWHVF,N,Sigma Garfunkel III,,Y,,Y,,2,,,,,Y,1,primitive,,primitive,,detected,,,,Y,,9,3,,,,,1,,,,,,,,,3,,,3,,,1,salad (24.2k),,,20,,,,,,,,,,,,,0,20,,3,3,92,12,21,4,22,7,21,5,350
MVXWZFB,N,Zeta Rudd III,,Y,Y,,,2,,Y,,,,1,none,,advanced,Y,none,,Y,Y,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,4,,,7,,5,,16,20,,3,3,109,12,21,23,22,25,5,1,373
MYBITCH,N,Bubblewrapium McNichols VII,Y,,Y,,,2,,,,,Y,1,advanced,Y,primitive,Y,none,,Y,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,4,,,4,,5,,,,7,,,,16,20,,3,3,73,12,24,1,8,19,2,7,251
MZUENJC,N,Phi Cancerus V,,Y,,Y,,2,,,,Y,,1,none,,primitive,Y,none,,,,,,9,5,3,,,,,,,,,,,,,,,,,,,,,,,17,,,,,3,,,,,,,,3,20,,3,3,55,12,8,6,6,4,17,2,206
N*****S,N,Epsilon Dyxichix VIII,,Y,,Y,,2,,,,,Y,1,advanced,,none,,none,,Y,,,,5,4,2,,,,,,,,,,,,,,5,,,,,,,4,,20,,,,,,,,,,,,,0,20,,3,3,72,13,8,6,6,4,17,18,319
NAAAAAA,N,Omicron Des Moines XI,Y,,Y,,,2,,,,,Y,1,none,,none,,none,,Y,,Y,,4,3,3,,,,,,,,,,,1,,,,,,,,,,,,11,,,,,,,,,9,,,,9,20,,3,3,13,13,0,0,0,0,0,0,13
NASALIE,N,Kappa Isaacson VI,,Y,,,Y,2,,,,,Y,1,primitive,,none,,none,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,0,,3,3,54,13,0,18,0,11,8,4,198
NAUGHTY,N,Psi Conjunctivitus VIII,,Y,,Y,,2,,Y,,,,1,none,,none,,detected,,,,,,7,5,7,,,,,,,,,,,,,,,,,,,1,mask 292k,,,20,,,,,,,,,,,,,0,20,,3,3,89,13,0,20,6,7,19,24,414
NEWCOCK,N,Psi Slobulus V,Y,,Y,,,2,Y,,,,,1,none,,primitive,Y,none,,,Y,,,1,5,2,,,,,,,,,,,,,,,,,,,,,,,8,,,,,3,,,,,,7,,10,18,,3,3,67,13,4,22,2,14,2,10,247
NEWYORK,N,Zeta Salisbury IV,,Y,Y,,,2,,,,Y,,1,none,,none,,detected,,Y,,,,5,3,4,,,,,,,,,,,,,,,,,,,1,salad 14.2k,,,13,,,,,,,,,3,4,,,7,20,,3,3,104,13,4,22,24,14,17,10,425
NGMJOKB,N,Humptydumptus Disraeli X,Y,,,Y,,2,,Y,,,,1,advanced,Y,primitive,Y,none,,Y,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,6,,,4,,3,,,,3,4,,,14,20,,3,3,65,13,6,12,9,14,10,1,234
NIGERIA,N,Psi Smith II,,,,Y,Y,2,,Y,,,,1,none,,primitive,,none,,Y,,Y,,3,2,4,,,,,,,,,,,,1,,,,2,,,,,,,12,,,,,,,,,8,,,,8,20,,3,3,56,13,8,6,4,17,8,0,196
NIPPLES,N,Eta Crustulus III,,,Y,Y,,2,,Y,,,,1,anomalous,Y,primitive,Y,none,,Y,Y,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,7,,,,2,3,,,,5,,1,2,13,20,,3,3,84,13,8,15,15,11,4,18,339
NLMMXZL,N,Gamma Shannahan X,Y,,,,Y,2,,,Y,,,1,primitive,,none,,detected,,,Y,,,4,5,,,,,,,,,,,,,,4,,,,,,1,salad (11.7k),,6,20,,,,,,,,,,,,,0,20,,3,3,107,13,11,12,12,23,25,11,461
NOGOCOR,N,Goldthwait Garfunkel XI,,Y,Y,,,2,,,,Y,,1,none,,advanced,Y,none,,,Y,,,2,2,4,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,3,,,,,4,5,12,20,,3,3,80,13,14,6,14,2,14,17,328
NONBIER,N,Eta Fustulus VI,,Y,,,Y,2,Y,,,,,1,primitive,Y,primitive,Y,detected,Y,,,,,2,4,,,,,,,,,,,,,,,,,,,,1,Salad,,,7,,,,,,5,,,8,,,,13,20,,3,3,70,13,14,13,1,8,4,17,267
NOOOOOO,N,Tau Dyxichix VII,,Y,,Y,,2,,Y,,,,1,none,,none,,detected,,Y,Y,,,5,2,,,,,,,,,,,,,,,,,,,,1,mask @ 254k,,,8,,,,,,,,,5,,7,,12,20,,3,3,97,13,14,14,14,14,14,14,391
NORBERT,N,Fritus Salisbury I,Y,,,Y,,2,,Y,,,,1,none,,primitive,Y,none,,,,Y,,3,6,5,,,,,,,,1,,,,,,,,,,,,,,,15,,,,,5,,,,,,,,5,20,,3,3,85,13,14,17,1,4,17,19,351
NPJLFMZ,N,Psi Steadwick VIII,,,Y,,Y,2,,,,Y,,1,advanced,Y,none,,none,,Y,Y,Y,,4,1,,,,1,,,,,,,,,,,,,,,,,,,,6,,,2,,,,,,3,4,2,3,14,20,,3,3,90,13,15,9,11,5,12,25,386
NVJRPCE,N,Cheetus Dunn IX,,Y,,Y,,2,,Y,,,,1,advanced,,none,,none,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,0,,3,3,81,13,21,9,17,15,2,4,265
OBNOXIA,N,Delta Symington VI,Y,,,,Y,2,,,Y,,,1,primitive,Y,none,,none,,Y,Y,Y,,3,2,,,,,,,,,,,1,,,,,,,,,,,,2,8,,5,,,,,,,,,7,,12,20,,3,3,73,14,1,13,14,23,8,0,274
OBSIDIA,N,Theta Young III,,Y,Y,,,2,Y,,,,,1,None,,advanced,Y,Detected,,,Y,,,3,6,,,,,,,,,,,,,,,,,,,,1,booze 16k,,6,16,,,,,,4,,,,,,,4,20,,3,3,52,14,1,18,8,3,8,0,165
OCTOBER,N,Epsilon Wallace VI,,Y,,,Y,2,,Y,,,,1,advanced,Y,none,,none,,,,,,5,4,6,,,,,,,,,,,,,,,,,,,,,,,15,,,5,,,,,,,,,,5,20,,3,3,71,14,2,19,14,1,4,17,279
OCTOPUS,N,Iota Dudebaddus III,,Y,,,Y,2,,,,Y,,1,none,,anomalous,,none,,,,,,6,8,2,,,,,,,,,,,,,,,,,,4,,,,,20,,,,,,,,,,,,,0,20,,3,3,102,14,2,19,14,15,20,18,452
OFFSITE,N,Sigma King X,Y,,,,Y,2,,,Y,,,1,anomalous,,primitive,,none,,Y,,Y,,4,3,,,,1,,,,,,,,,,,,3,4,,,,,5,,20,,,,,,,,,,,,,0,20,,3,3,73,14,5,5,18,8,19,4,293
OFMGZUQ,N,Discothecus Berry V,Y,,,Y,,2,,Y,,,,1,none,,primitive,,none,,Y,,,,4,3,4,,,,,,,,,,,,,,,,4,,,,,,,15,,,,,,,,,3,2,,,5,20,,3,3,98,14,5,12,6,25,20,16,441
OIIIOOI,N,Zeta Diggusduggus XI,Y,,,,Y,2,Y,,,,,1,none,,advanced,,detected,,Y,Y,Y,,3,2,,,,1,,,,,,,,,,,,,,2,,1,salad 14.9k,,,9,,,,,,,,,5,,6,,11,20,,3,3,74,14,8,8,8,14,14,8,296
OIIOIIO,N,Zeta Diggusduggus XI,Y,,,,Y,2,Y,,,,,1,none,,advanced,,none,,,,,,3,5,6,,,,,,,,,,,,,,,,,6,,,,,,20,,,,,,,,,,,,,0,20,,3,3,74,14,8,8,14,8,8,14,296
OIIOIOI,N,Cheetus Westinghouse IV,Y,,,Y,,2,,Y,,,,1,advanced,Y,primitive,,none,,,,,,6,3,4,,,,,,,,,,,,,,,,5,,,,,,,18,,,2,,,,,,,,,,2,20,,3,3,74,14,8,8,14,8,14,8,290
OIIOOII,N,Pi O'Sullivan VII,,,Y,,Y,2,,,,,Y,1,primitive,,anomalous,Y,detected,,,Y,,,3,4,,,,,,,,,,,,,,2,,,,,,1,booze 22.8K,,,10,,,,,,,4,,,,,6,10,20,,3,3,74,14,8,8,14,14,8,8,284
OIOIIOI,N,Pi O'Sullivan VII,,,Y,,Y,2,,,,,Y,1,primitive,,anomalous,Y,none,,Y,Y,,,2,3,,,,,,,,,,,,,,4,,,,,,,,,,9,,,,2,,,,,2,2,5,,11,20,,3,3,74,14,8,14,8,8,14,8,284
OIOOIII,N,Rho Lee VII,Y,,,Y,,2,,Y,,,,1,primitive,,none,,detected,,Y,Y,,,3,2,,,,1,,,,,,,,,,3,,,,,,1,booze 23.5k,4,,14,,,,,,,,,,,3,3,6,20,,3,3,74,14,8,14,14,8,8,8,272
OJNQXVR,N,Bob Noriega XI,Y,,Y,,,2,Y,,,,,1,none,,none,,none,,,,,,6,8,6,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,0,20,,3,3,113,14,9,13,16,23,21,17,495
OLYMPIC,N,Rho Benedict VI,,Y,Y,,,2,,,,,Y,1,primitive,Y,primitive,,none,,,Y,,,3,7,,,,,,,,,,,,,,,,,2,,,,,,,12,,3,,,,,,,,,5,,8,20,,3,3,86,14,11,24,12,15,8,2,293
OMICRON,N,Omicron Spitzner IV,,,Y,,Y,2,Y,,,,,1,anomalous,,none,,none,,Y,,Y,,2,2,3,,,,,,,,1,,,,,,,6,,,,,,,,14,,,,,,,,,4,2,,,6,20,,3,3,80,14,12,8,2,17,14,13,330
ONEMORE,N,Gamma Sanford III,Y,,,,Y,2,,,,Y,,1,none,,advanced,Y,none,,Y,Y,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,4,,,5,,4,,13,20,,3,3,78,14,13,4,12,14,17,4,300
ONQUHBM,N,Zeta O'Kelly VII,,Y,,Y,,2,,,Y,,,1,primitive,,anomalous,Y,none,,,,,,3,4,5,,,,,,,,,,,,,4,,,,,,,,,,16,,,,,,,4,,,,,,4,20,,3,3,83,14,13,16,20,7,1,12,293
OOIIIIO,N,Pi O'Sullivan VII,,,Y,,Y,2,,,,,Y,1,primitive,Y,anomalous,Y,none,,Y,Y,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,4,,3,,,,,3,,2,2,,6,16,20,,3,3,74,14,14,8,8,8,8,14,284
OOIIOII,N,Rho Lee VII,Y,,,Y,,2,,Y,,,,1,advanced,,advanced,,none,,,Y,Y,,6,3,,,,1,,,,,,,,,,,2,,,3,,,,,,15,,,,,,,,,,,4,1,5,20,,3,3,74,14,14,8,8,14,8,8,272
OOOOOOO,N,Dominatrix Haggard I,,,Y,,Y,2,,,Y,,,1,primitive,,advanced,Y,detected,,,,Y,,4,4,,,1,,,,,,,,,,,3,,,,,,1,medicine 10.4k,,,13,,,,,,7,,,,,,,7,20,,3,3,98,14,14,14,14,14,14,14,392
ORGASMS,N,Pi Pacmanicus VII,Y,Y,,,,2,,Y,,,,1,primitive,,none,,detected,,,,Y,,4,4,6,,,,,,1,,,,,,,4,,,,,,1,salad 23.3k,,,20,,,,,,,,,,,,,0,20,,3,3,85,14,17,6,0,18,12,18,354
ORLWPSB,N,Kappa Peterson III,Y,Y,,,,2,,Y,,,,1,none,,primitive,,none,,,,,,6,5,5,,,,,,,,,,,,,,,,4,,,,,,,20,,,,,,,,,,,,,0,20,,3,3,98,14,17,11,22,15,18,1,359
ORVILLE,N,Omicron Perambulus III,,,,Y,Y,2,Y,,,,,1,primitive,Y,primitive,Y,none,,Y,Y,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,4,,3,,,4,,,,5,,4,,16,20,,3,3,86,14,17,21,8,11,11,4,292
OSTRICH,N,Tau Thompson VI,Y,,,,Y,2,,,,Y,,1,none,,advanced,Y,none,,Y,Y,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,4,,,5,,1,2,12,20,,3,3,85,14,18,19,17,8,2,7,276
OTIKIFM,N,Tau Dominatrix XI,,,Y,,Y,2,,,Y,,,1,none,,primitive,,none,,,,,,2,8,6,,,,,,,,,,,,,,,,4,,,,,,,20,,,,,,,,,,,,,0,20,,3,3,76,14,19,8,10,8,5,12,270
OUWEOMQ,N,Upsilon Pelicanus IV,Y,Y,,,,2,,Y,,,,1,primitive,Y,advanced,,none,,,,,,3,4,3,,,,,,,,,,,,,,,,,5,,,,,,15,,5,,,,,,,,,,,5,20,,3,3,102,14,20,22,4,14,12,16,390
OYSTERS,N,Nu Dunn VI,,Y,Y,,,2,,Y,,,,1,none,,advanced,,none,,Y,,,,3,2,5,,,,,,,,,,,,,,,,,3,,,,,,13,,,,,,,,,7,,,,7,20,,3,3,114,14,24,18,19,4,17,18,440
OZCXVCT,N,Chi Abbrevianus V,Y,,Y,,,2,,,,,Y,1,advanced,Y,primitive,Y,none,,,,,,5,4,6,,,,,,,,,,,,,,,,,,,,,,,15,,,2,,3,,,,,,,,5,20,,3,3,106,14,25,2,23,21,2,19,412
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0
